ippts,11,3,159,0
wbarlhead,11,3,175,0
min,11,3,209,0.001
minlhead,11,3,179,0
wbar,11,3,205,0.001
ippts_pe,11,3,159,0
ippts_ndwpe,11,3,122,0.059

ippts,10,3,240,0
wbarlhead,10,3,198,0
min,10,3,185,0.001
minlhead,10,3,195,0
wbar,10,3,185,0
ippts_pe,10,3,195,0
ippts_ndwpe,10,3,247,0

ippts,10,3,160,0
wbarlhead,10,3,160,0
min,10,3,162,0
minlhead,10,3,161,0.023
wbar,10,3,161,0
ippts_pe,10,3,160,0.001
ippts_ndwpe,10,3,155,0

ippts,10,3,135,0
wbarlhead,10,3,160,0.001
min,10,3,155,0
minlhead,10,3,160,0
wbar,10,3,155,0
ippts_pe,10,3,155,0.001
ippts_ndwpe,10,3,132,0.285

ippts,10,3,183,0
wbarlhead,10,3,186,0
min,10,3,200,0.002
minlhead,10,3,186,0.096
wbar,10,3,199,0
ippts_pe,10,3,183,0
ippts_ndwpe,10,3,182,0

ippts,10,3,189,0
wbarlhead,10,3,189,0
min,10,3,165,0
minlhead,10,3,152,0
wbar,10,3,187,0
ippts_pe,10,3,151,0.001
ippts_ndwpe,10,3,189,0.051

ippts,11,3,166,0.001
wbarlhead,11,3,166,0
min,11,3,166,0
minlhead,11,3,166,0.04
wbar,11,3,170,0
ippts_pe,11,3,178,0
ippts_ndwpe,11,3,166,0.158

ippts,10,3,183,0
wbarlhead,10,3,183,0
min,10,3,201,0.002
minlhead,10,3,204,0
wbar,10,3,170,0.002
ippts_pe,10,3,208,0
ippts_ndwpe,10,3,183,0

ippts,10,3,224,0.002
wbarlhead,10,3,230,0
min,10,3,237,0
minlhead,10,3,235,0.001
wbar,10,3,250,0
ippts_pe,10,3,188,0
ippts_ndwpe,10,3,263,0

ippts,10,3,125,0
wbarlhead,10,3,158,0.001
min,10,3,147,0
minlhead,10,3,136,0.011
wbar,10,3,142,0
ippts_pe,10,3,125,0
ippts_ndwpe,10,3,137,0

ippts,10,3,179,0
wbarlhead,10,3,192,0
min,10,3,150,0
minlhead,10,3,144,0
wbar,10,3,186,0
ippts_pe,10,3,179,0
ippts_ndwpe,10,3,153,0.046

ippts,10,3,173,0
wbarlhead,10,3,173,0.001
min,10,3,173,0
minlhead,10,3,173,0
wbar,10,3,173,0
ippts_pe,10,3,173,0
ippts_ndwpe,10,3,177,0.083

ippts,10,3,226,0
wbarlhead,10,3,224,0
min,10,3,236,0
minlhead,10,3,216,0
wbar,10,3,220,0
ippts_pe,10,3,224,0
ippts_ndwpe,10,3,224,0

ippts,10,3,122,0.001
wbarlhead,10,3,124,0
min,10,3,137,0
minlhead,10,3,128,0
wbar,10,3,143,0
ippts_pe,10,3,107,0.001
ippts_ndwpe,10,3,107,0

ippts,11,3,111,0
wbarlhead,11,3,104,0
min,11,3,143,0
minlhead,11,3,108,0.001
wbar,11,3,117,0
ippts_pe,11,3,123,0
ippts_ndwpe,11,3,129,0

ippts,11,3,120,0
wbarlhead,11,3,80,0
min,11,3,108,0
minlhead,11,3,93,0
wbar,11,3,78,0.002
ippts_pe,11,3,132,0
ippts_ndwpe,11,3,120,0

ippts,10,3,196,0
wbarlhead,10,3,196,0
min,10,3,226,0
minlhead,10,3,196,0
wbar,10,3,226,0.001
ippts_pe,10,3,196,0
ippts_ndwpe,10,3,196,0.001
ippts,11,3,197,0.028
wbarlhead,11,3,223,0.027
min,11,3,248,0.025
minlhead,11,3,224,0.021
wbar,11,3,239,0.023
ippts_pe,11,3,190,0.022
ippts_ndwpe,11,3,172,0.023
ippts,11,3,164,0.026
wbarlhead,11,3,164,0.027
min,11,3,164,0.026
minlhead,10,3,144,0.021
wbar,10,3,144,0.019
ippts_pe,10,3,144,0.021
ippts_ndwpe,10,3,144,0.019
ippts,10,3,172,0.025
wbarlhead,10,3,172,0.023
min,11,3,224,0.027
minlhead,11,3,170,0.023
wbar,11,3,152,0.021
ippts_pe,11,3,170,0.026
ippts_ndwpe,11,3,210,0.022
ippts,30,3,420,0.064
wbarlhead,30,3,357,0.06
min,31,3,487,0.063
minlhead,31,3,428,0.061
wbar,31,3,496,0.066
ippts_pe,31,3,422,0.064
ippts_ndwpe,30,3,341,0.061
ippts,31,3,428,0.078
wbarlhead,31,3,323,0.074
min,30,3,357,0.058
minlhead,30,3,357,0.056
wbar,30,3,393,0.058
ippts_pe,30,3,431,0.057
ippts_ndwpe,30,3,429,0.052
